Date,Value
2021-03-19,316180.0
2021-03-18,331718.0
2021-03-17,296119.0
2021-03-16,319493.0
2021-03-15,292231.0
2021-03-14,308050.0
2021-03-13,277072.0
2021-03-12,320744.0
2021-03-11,291245.0
2021-03-10,344688.0
2021-03-09,299682.0
2021-03-08,291955.0
2021-03-07,260739.0
2021-03-06,287963.0
2021-03-05,317780.0
2021-03-04,289631.0
2021-03-03,333402.0
2021-03-02,338150.0
2021-03-01,280485.0
2021-02-28,254316.0
2021-02-27,320784.0
2021-02-26,306416.0
2021-02-25,326116.0
2021-02-24,358092.0
2021-02-23,287884.0
2021-02-22,285383.0
2021-02-21,271645.0
2021-02-20,320475.0
2021-02-19,341586.0
2021-02-18,316952.0
2021-02-17,317666.0
2021-02-16,296388.0
2021-02-15,308496.0
2021-02-14,298254.0
2021-02-13,336624.0
2021-02-12,343306.0
2021-02-11,304739.0
2021-02-10,340758.0
2021-02-09,360137.0
2021-02-08,335223.0
2021-02-07,286364.0
2021-02-06,333886.0
2021-02-05,360541.0
2021-02-04,367788.0
2021-02-03,344425.0
2021-02-02,364551.0
2021-02-01,280863.0
2021-01-31,290753.0
2021-01-30,312313.0
2021-01-29,341036.0
2021-01-28,325146.0
2021-01-27,323553.0
2021-01-26,336935.0
2021-01-25,309102.0
2021-01-24,253971.0
2021-01-23,305209.0
2021-01-22,326935.0
2021-01-21,290754.0
2021-01-20,314809.0
2021-01-19,325083.0
2021-01-18,313816.0
2021-01-17,271874.0
2021-01-16,308461.0
2021-01-15,344002.0
2021-01-14,338809.0
2021-01-13,319167.0
2021-01-12,336627.0
2021-01-11,333958.0
2021-01-10,331865.0
2021-01-09,321389.0
2021-01-08,358526.0
2021-01-07,401744.0
2021-01-06,397384.0
2021-01-05,354091.0
2021-01-04,373734.0
2021-01-03,359116.0
2021-01-02,297111.0
2021-01-01,258080.0
2020-12-31,344918.0
2020-12-30,338258.0
2020-12-29,336311.0
2020-12-28,308983.0
2020-12-27,309005.0
2020-12-26,273954.0
2020-12-25,303901.0
2020-12-24,269559.0
2020-12-23,338463.0
2020-12-22,324163.0
2020-12-21,269834.0
2020-12-20,282043.0
2020-12-19,343536.0
2020-12-18,375549.0
2020-12-17,309481.0
2020-12-16,315217.0
2020-12-15,320440.0
2020-12-14,314350.0
2020-12-13,276160.0
2020-12-12,295410.0
2020-12-11,304735.0
2020-12-10,313649.0
2020-12-09,321079.0
2020-12-08,330970.0
2020-12-07,300906.0
2020-12-06,258624.0
2020-12-05,282599.0
2020-12-04,318894.0
2020-12-03,346921.0
2020-12-02,327019.0
2020-12-01,378068.0
2020-11-30,256551.0
2020-11-29,263573.0
2020-11-28,293949.0
2020-11-27,322445.0
2020-11-26,323975.0
2020-11-25,361990.0
2020-11-24,333293.0
2020-11-23,297840.0
2020-11-22,271125.0
2020-11-21,311189.0
2020-11-20,348026.0
2020-11-19,311061.0
2020-11-18,362007.0
2020-11-17,347772.0
2020-11-16,311477.0
2020-11-15,252715.0
2020-11-14,273511.0
2020-11-13,300040.0
2020-11-12,324855.0
2020-11-11,322277.0
2020-11-10,303270.0
2020-11-09,326383.0
2020-11-08,243047.0
2020-11-07,270901.0
2020-11-06,340351.0
2020-11-05,318668.0
2020-11-04,320697.0
2020-11-03,331673.0
2020-11-02,224609.0
2020-11-01,276280.0
2020-10-31,275796.0
2020-10-30,268364.0
2020-10-29,276070.0
2020-10-28,261340.0
2020-10-27,251938.0
2020-10-26,252494.0
2020-10-25,242273.0
2020-10-24,306774.0
2020-10-23,323869.0
2020-10-22,339087.0
2020-10-21,311292.0
2020-10-20,330563.0
2020-10-19,303929.0
2020-10-18,231557.0
2020-10-17,275069.0
2020-10-16,324647.0
2020-10-15,340993.0
2020-10-14,314541.0
2020-10-13,333215.0
2020-10-12,314174.0
2020-10-11,256096.0
2020-10-10,298486.0
2020-10-09,339343.0
2020-10-08,330227.0
2020-10-07,370554.0
2020-10-06,317922.0
2020-10-05,294986.0
2020-10-04,268019.0
2020-10-03,310855.0
2020-10-02,315443.0
2020-10-01,304757.0
2020-09-30,351417.0
2020-09-29,347696.0
2020-09-28,295476.0
